EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
1-CONS3,1,55,true,0,1800000,83250,194750,96.0-18.0,122.0-94.0,null,2,1
1-CONS3,1,64,true,0,2400000,160000,251000,156.0-18.0,178.0-38.0,null,9,1
1-CONS3,1,134,true,0,3600000,173250,339000,54.0-54.0,156.0-120.0,null,15,1
1-CONS3,1,57,true,0,3600000,300250,380000,96.0-18.0,152.0-34.0,null,19,1
1-CONS3,1,66,true,0,2400000,338250,435500,156.0-18.0,206.0-44.0,null,13,1
1-CONS3,1,97,true,0,2400000,369000,470000,76.0-94.0,160.0-120.0,null,8,1
1-CONS3,1,84,true,0,3000000,439250,566500,170.0-74.0,132.0-120.0,null,9,1
1-CONS3,1,68,true,0,1800000,479750,577000,156.0-18.0,160.0-78.0,null,16,1
1-CONS3,1,132,true,0,2400000,463750,581000,54.0-54.0,124.0-120.0,null,2,1
1-CONS3,1,95,true,0,1800000,568000,639000,76.0-94.0,112.0-120.0,null,7,1
1-CONS3,1,138,true,0,2400000,632250,749500,54.0-54.0,124.0-120.0,null,18,1
1-CONS3,0,92,false,0,2400000,558500,753000,170.0-74.0,170.0-74.0,85,15,0
1-CONS3,1,85,true,0,2400000,675250,765000,170.0-74.0,168.0-120.0,null,11,1
1-CONS3,0,90,false,0,2400000,354500,847000,170.0-74.0,170.0-74.0,85,14,0
1-CONS3,1,255,true,653250,3653250,790000,873500,104.0-18.0,82.0-54.0,null,4,1
1-CONS3,1,102,true,0,2400000,878750,939750,76.0-94.0,96.0-120.0,null,6,1
1-CONS3,0,89,false,0,2400000,207000,940250,170.0-74.0,170.0-74.0,85,5,0
1-CONS3,1,326,true,838500,2638500,884000,951250,180.0-88.0,176.0-120.0,null,15,1
1-CONS3,1,256,true,653250,3653250,918750,1017250,104.0-18.0,58.0-78.0,null,2,1
1-CONS3,0,88,false,0,2400000,140000,1029000,170.0-74.0,170.0-74.0,85,3,0
1-CONS3,0,144,false,0,1800000,866500,1103250,54.0-54.0,54.0-54.0,136,7,0
1-CONS3,1,101,true,0,2400000,1019750,1120750,76.0-94.0,160.0-120.0,null,4,1
1-CONS3,1,136,true,0,1800000,1011250,1146000,54.0-54.0,152.0-120.0,null,16,1
1-CONS3,0,142,false,0,2400000,310250,1196500,54.0-54.0,54.0-54.0,138,0,0
1-CONS3,1,367,true,951250,3951250,1064250,1199250,128.0-18.0,76.0-94.0,null,11,1
1-CONS3,1,257,true,653250,3053250,1110500,1240250,104.0-18.0,152.0-78.0,null,8,1
1-CONS3,1,327,true,838500,3838500,1159000,1246250,180.0-84.0,184.0-120.0,null,3,1
1-CONS3,0,140,false,0,2400000,77500,1288250,54.0-54.0,54.0-54.0,138,10,0
1-CONS3,0,260,false,653250,4253250,996250,1294250,34.0-24.0,34.0-24.0,258,18,0
1-CONS3,0,110,false,0,2400000,766500,1300250,76.0-94.0,76.0-94.0,102,13,0
1-CONS3,1,99,true,0,3600000,1199250,1300500,76.0-94.0,144.0-120.0,null,11,1
1-CONS3,1,368,true,951250,4551250,1209500,1308000,128.0-18.0,158.0-74.0,null,15,1
1-CONS3,1,258,true,653250,4253250,1201000,1334500,34.0-24.0,100.0-120.0,null,5,1
1-CONS3,0,107,false,0,2400000,252000,1379250,76.0-94.0,76.0-94.0,102,17,0
1-CONS3,0,259,false,653250,4253250,807500,1388750,34.0-24.0,34.0-24.0,258,9,0
1-CONS3,1,369,true,951250,2751250,1390250,1461250,128.0-18.0,76.0-28.0,null,16,1
1-CONS3,1,325,true,838500,3238500,1396250,1483500,180.0-84.0,184.0-120.0,null,15,1
1-CONS3,1,412,true,1093500,4693500,1384750,1490750,76.0-34.0,52.0-120.0,null,8,1
1-CONS3,1,443,true,1300500,4300500,1422500,1499750,156.0-88.0,120.0-120.0,null,0,1
1-CONS3,0,106,false,0,2400000,113250,1505750,76.0-94.0,76.0-94.0,102,1,0
1-CONS3,1,413,true,1093500,2893500,1451000,1559500,76.0-34.0,112.0-120.0,null,18,1
1-CONS3,0,418,false,1093500,2893500,1370250,1572250,76.0-34.0,76.0-34.0,413,10,0
1-CONS3,0,330,false,838500,3238500,1303500,1613750,180.0-84.0,180.0-84.0,325,7,0
1-CONS3,1,446,true,1300500,4900500,1529000,1623750,156.0-84.0,124.0-120.0,null,17,1
1-CONS3,1,414,true,1093500,2893500,1533000,1629000,76.0-34.0,84.0-120.0,null,9,1
1-CONS3,1,439,true,1240250,4240250,1551250,1661000,52.0-18.0,130.0-28.0,null,3,1
1-CONS3,0,417,false,1093500,2893500,1228000,1666750,76.0-34.0,76.0-34.0,413,6,0
1-CONS3,1,324,true,838500,4438500,1534750,1697000,180.0-84.0,64.0-120.0,null,13,1
1-CONS3,1,501,true,1409750,4409750,1611250,1703500,122.0-34.0,128.0-120.0,null,5,1
1-CONS3,0,329,false,838500,3838500,1055750,1707000,180.0-84.0,180.0-84.0,327,14,0
1-CONS3,1,444,true,1300500,3700500,1680250,1772500,156.0-84.0,120.0-120.0,null,8,1
1-CONS3,1,553,true,1613750,3413750,1739000,1787500,168.0-18.0,184.0-24.0,null,16,1
1-CONS3,0,328,false,838500,3838500,966250,1796750,180.0-84.0,180.0-84.0,327,12,0
1-CONS3,1,499,true,1409750,5009750,1674500,1853000,122.0-34.0,120.0-120.0,null,10,1
1-CONS3,0,415,false,1093500,2893500,1231250,1857000,76.0-38.0,76.0-38.0,414,2,0
1-CONS3,1,555,true,1626750,5226750,1769250,1882750,184.0-18.0,64.0-28.0,null,0,1
1-CONS3,1,441,true,1240250,4840250,1812000,1884250,52.0-18.0,88.0-34.0,null,6,1
1-CONS3,1,440,true,1240250,4840250,1713000,1890250,52.0-18.0,172.0-94.0,null,1,1
1-CONS3,1,411,true,1093500,4093500,1765000,1908500,76.0-34.0,160.0-120.0,null,15,1
1-CONS3,1,554,true,1613750,4013750,1844750,1983250,168.0-18.0,86.0-74.0,null,7,1
1-CONS3,0,449,false,1300500,3700500,1800500,2016750,156.0-84.0,156.0-84.0,445,3,0
1-CONS3,1,445,true,1300500,3700500,1924750,2027000,156.0-84.0,136.0-120.0,null,5,1
1-CONS3,1,498,true,1409750,5009750,1935250,2057500,122.0-34.0,180.0-120.0,null,17,1
1-CONS3,1,442,true,1240250,4240250,1993000,2079000,52.0-18.0,82.0-38.0,null,14,1
1-CONS3,0,447,false,1300500,4900500,1400750,2111250,156.0-84.0,156.0-84.0,446,4,0
1-CONS3,1,632,true,1882750,4282750,1954250,2120250,208.0-34.0,112.0-120.0,null,12,1
1-CONS3,1,556,true,1626750,5226750,1995250,2158750,184.0-18.0,62.0-74.0,null,13,1
1-CONS3,0,506,false,1409750,4409750,2028750,2245000,122.0-34.0,122.0-34.0,500,6,0
1-CONS3,1,574,true,1707000,4107000,2149750,2248250,78.0-84.0,148.0-120.0,null,1,1
1-CONS3,1,500,true,1409750,4409750,2160500,2277750,122.0-34.0,172.0-120.0,null,10,1
1-CONS3,1,708,true,2081250,3881250,2148750,2278500,198.0-78.0,104.0-120.0,null,3,1
1-CONS3,1,679,true,2016750,5016750,2150750,2290500,180.0-18.0,38.0-48.0,null,0,1
1-CONS3,1,557,true,1626750,4626750,2162250,2297000,184.0-18.0,74.0-64.0,null,8,1
1-CONS3,1,633,true,1882750,4282750,2128750,2304750,208.0-34.0,80.0-120.0,null,7,1
1-CONS3,0,504,false,1409750,4409750,1817750,2376000,122.0-34.0,122.0-34.0,500,9,0
1-CONS3,1,631,true,1882750,4882750,2272000,2390500,208.0-34.0,180.0-120.0,null,5,1
1-CONS3,1,575,true,1707000,4107000,2321000,2394500,78.0-84.0,108.0-120.0,null,4,1
1-CONS3,0,577,false,1707000,4107000,2001250,2427250,78.0-84.0,78.0-84.0,575,16,0
1-CONS3,1,558,true,1626750,4626750,2367000,2440500,184.0-18.0,176.0-28.0,null,17,1
1-CONS3,0,502,false,1409750,4409750,1592500,2470500,122.0-34.0,122.0-34.0,500,11,0
1-CONS3,1,739,true,2195750,4595750,2399500,2498000,40.0-58.0,48.0-120.0,null,8,1
1-CONS3,1,707,true,2081250,5681250,2395500,2505250,198.0-78.0,120.0-120.0,null,14,1
1-CONS3,1,682,true,2038750,5038750,2434000,2511250,102.0-94.0,148.0-120.0,null,0,1
1-CONS3,1,680,true,2016750,5016750,2393000,2511500,180.0-18.0,82.0-34.0,null,12,1
1-CONS3,0,742,false,2195750,4595750,2300000,2526000,40.0-58.0,40.0-58.0,739,2,0
1-CONS3,0,576,false,1707000,4107000,1810000,2539000,78.0-84.0,78.0-84.0,575,18,0
1-CONS3,1,762,true,2265750,5865750,2433250,2563000,88.0-18.0,26.0-104.0,null,1,1
1-CONS3,1,789,true,2381750,5981750,2544000,2616250,144.0-18.0,130.0-68.0,null,7,1
1-CONS3,1,559,true,1626750,3426750,2612500,2724750,184.0-18.0,134.0-64.0,null,5,1
1-CONS3,1,683,true,2038750,5638750,2693750,2773500,102.0-94.0,152.0-120.0,null,0,1
1-CONS3,1,681,true,2016750,5616750,2661000,2778250,180.0-18.0,134.0-108.0,null,16,1
1-CONS3,1,740,true,2195750,5195750,2680750,2784250,40.0-54.0,88.0-120.0,null,10,1
1-CONS3,0,687,false,2038750,5638750,2582250,2785750,102.0-94.0,102.0-94.0,683,9,0
1-CONS3,1,790,true,2381750,4181750,2710750,2793000,144.0-18.0,124.0-78.0,null,18,1
1-CONS3,1,887,true,2569750,4969750,2707500,2814750,132.0-18.0,100.0-94.0,null,2,1
1-CONS3,0,685,false,2038750,5638750,2288750,2879000,102.0-94.0,102.0-94.0,683,13,0
1-CONS3,0,771,false,2304750,4704750,2616500,2891250,62.0-54.0,62.0-54.0,769,17,0
1-CONS3,1,769,true,2304750,4704750,2803750,2951000,62.0-54.0,180.0-120.0,null,14,1
1-CONS3,0,684,false,2038750,5638750,2160250,2974500,102.0-94.0,102.0-94.0,683,15,0
1-CONS3,1,795,true,2441000,6041000,2914750,3021500,36.0-54.0,64.0-120.0,null,5,1
1-CONS3,1,738,true,2195750,5195750,2949750,3028250,40.0-54.0,48.0-120.0,null,18,1
1-CONS3,0,802,false,2441000,4841000,2769250,3040500,36.0-58.0,36.0-58.0,796,7,0
1-CONS3,0,741,false,2195750,5195750,2475250,3042500,40.0-54.0,40.0-54.0,740,3,0
1-CONS3,1,888,true,2569750,4969750,2990250,3062500,132.0-18.0,126.0-28.0,null,10,1
1-CONS3,1,796,true,2441000,4841000,2947250,3108250,36.0-58.0,152.0-120.0,null,16,1
1-CONS3,0,801,false,2441000,4841000,2626500,3135250,36.0-58.0,36.0-58.0,796,8,0
1-CONS3,0,953,false,2909500,6509500,2909500,3157500,62.0-54.0,62.0-54.0,952,17,0
1-CONS3,1,952,true,2909500,6509500,3078000,3222750,62.0-54.0,176.0-120.0,null,0,1
1-CONS3,0,794,false,2441000,6041000,3081000,3269500,156.0-104.0,156.0-104.0,791,15,0
1-CONS3,0,770,false,2304750,4704750,2439750,3279000,62.0-54.0,62.0-54.0,769,6,0
1-CONS3,1,791,true,2441000,6041000,3190500,3305250,156.0-104.0,80.0-120.0,null,5,1
1-CONS3,0,807,false,2441000,5441000,3118750,3357250,80.0-24.0,80.0-24.0,803,13,0
1-CONS3,0,793,false,2441000,6041000,2938750,3359750,156.0-104.0,156.0-104.0,791,9,0
1-CONS3,1,987,true,3135250,6135250,3281750,3372750,112.0-18.0,124.0-28.0,null,18,1
1-CONS3,1,803,true,2441000,5441000,3267750,3387500,80.0-24.0,76.0-120.0,null,8,1
1-CONS3,1,967,true,2992000,5992000,3310000,3447250,62.0-74.0,156.0-120.0,null,16,1
1-CONS3,0,806,false,2441000,5441000,2974000,3448000,80.0-24.0,80.0-24.0,803,2,0
1-CONS3,0,792,false,2441000,6041000,2606500,3454250,156.0-104.0,156.0-104.0,791,11,0
1-CONS3,1,797,true,2441000,4241000,3374250,3457750,36.0-54.0,52.0-120.0,null,6,1
1-CONS3,0,800,false,2441000,4241000,3228000,3467500,36.0-54.0,36.0-54.0,797,14,0
1-CONS3,1,988,true,3135250,6135250,3457000,3525500,112.0-18.0,74.0-38.0,null,0,1
1-CONS3,1,968,true,2992000,6592000,3410250,3535000,62.0-74.0,136.0-120.0,null,5,1
1-CONS3,0,805,false,2441000,5441000,2745000,3540000,80.0-24.0,80.0-24.0,803,1,0
1-CONS3,0,798,false,2441000,4241000,2630250,3562000,36.0-54.0,36.0-54.0,797,4,0
1-CONS3,0,804,false,2441000,5441000,2606250,3633250,80.0-24.0,80.0-24.0,803,12,0
1-CONS3,1,1007,true,3298250,5698250,3534750,3660750,148.0-94.0,80.0-120.0,null,8,1
1-CONS3,1,1051,true,3454250,6454250,3574500,3661750,78.0-74.0,72.0-120.0,null,14,1
1-CONS3,1,1054,true,3486000,5286000,3601750,3679000,172.0-18.0,178.0-48.0,null,11,1
1-CONS3,1,989,true,3135250,4935250,3605500,3701500,112.0-18.0,84.0-64.0,null,16,1
1-CONS3,1,1028,true,3372750,6972750,3542000,3719250,196.0-28.0,84.0-120.0,null,9,1
1-CONS3,1,1032,true,3447250,6447250,3561000,3719500,156.0-18.0,52.0-104.0,null,13,1
1-CONS3,1,1050,true,3454250,7054250,3676250,3768500,78.0-74.0,128.0-120.0,null,0,1
1-CONS3,1,970,true,2992000,4792000,3697750,3850000,62.0-74.0,180.0-120.0,null,2,1
1-CONS3,1,1055,true,3486000,5886000,3783500,3865750,172.0-18.0,194.0-64.0,null,12,1
1-CONS3,1,1030,true,3372750,6372750,3738500,3880750,196.0-28.0,124.0-120.0,null,1,1
1-CONS3,0,1010,false,3298250,6298250,3780000,3970250,148.0-94.0,148.0-94.0,1006,11,0
1-CONS3,1,969,true,2992000,5992000,3899500,3979250,62.0-74.0,64.0-120.0,null,8,1
1-CONS3,1,1006,true,3298250,6298250,3891250,3982250,148.0-94.0,120.0-120.0,null,9,1
1-CONS3,0,975,false,2992000,5992000,3796000,3983000,62.0-78.0,62.0-78.0,969,14,0
1-CONS3,1,1061,true,3570500,7170500,3890250,3995000,204.0-64.0,168.0-120.0,null,13,1
1-CONS3,0,1009,false,3298250,6298250,3671750,4063500,148.0-94.0,148.0-94.0,1006,6,0
1-CONS3,0,1066,false,3570500,5970500,3711750,4074250,204.0-64.0,204.0-64.0,1062,5,0
1-CONS3,0,974,false,2992000,4792000,3543750,4076250,62.0-78.0,62.0-78.0,970,18,0
1-CONS3,1,1049,true,3454250,7054250,3963750,4084000,78.0-74.0,152.0-120.0,null,0,1
1-CONS3,1,1062,true,3570500,5970500,3983000,4087750,204.0-64.0,168.0-120.0,null,12,1
1-CONS3,0,1052,false,3454250,7054250,3779500,4090250,78.0-74.0,78.0-74.0,1049,16,0
1-CONS3,0,1008,false,3298250,5698250,3408750,4151500,148.0-94.0,148.0-94.0,1007,15,0
1-CONS3,1,1064,true,3570500,7170500,3992750,4162500,204.0-68.0,56.0-120.0,null,2,1
1-CONS3,0,971,false,2992000,4792000,3121500,4170750,62.0-78.0,62.0-78.0,970,3,0
1-CONS3,1,1137,true,3865750,5665750,4133250,4201750,48.0-18.0,30.0-58.0,null,1,1
1-CONS3,0,1065,false,3570500,7170500,3784500,4230000,204.0-68.0,204.0-68.0,1064,4,0
1-CONS3,1,1063,true,3570500,6570500,4135500,4270250,204.0-68.0,96.0-120.0,null,11,1
1-CONS3,1,1056,true,3486000,6486000,4250250,4308750,172.0-18.0,196.0-24.0,null,9,1
1-CONS3,1,1169,true,3983000,7583000,4208500,4320750,100.0-18.0,82.0-104.0,null,14,1
1-CONS3,1,1215,true,4094000,6494000,4225250,4343750,148.0-18.0,30.0-38.0,null,6,1
1-CONS3,1,1029,true,3372750,6972750,4230750,4365500,196.0-28.0,160.0-120.0,null,13,1
1-CONS3,1,1138,true,3865750,6865750,4255250,4412500,48.0-18.0,198.0-64.0,null,16,1
1-CONS3,1,1172,true,3983250,6383250,4356000,4458250,150.0-54.0,148.0-120.0,null,18,1
1-CONS3,1,1170,true,3983000,5783000,4373250,4459250,100.0-18.0,52.0-44.0,null,15,1
1-CONS3,1,1242,true,4214000,6614000,4357500,4491000,88.0-54.0,152.0-120.0,null,1,1
1-CONS3,1,1216,true,4094000,7694000,4354500,4499250,148.0-18.0,40.0-54.0,null,4,1
1-CONS3,1,1175,true,3983250,6983250,4530500,4630250,150.0-54.0,144.0-120.0,null,6,1
1-CONS3,1,1139,true,3865750,6865750,4480250,4641250,48.0-18.0,208.0-48.0,null,14,1
1-CONS3,1,1171,true,3983000,6983000,4606500,4676250,100.0-18.0,50.0-28.0,null,15,1
1-CONS3,1,1140,true,3865750,6265750,4661000,4718250,48.0-18.0,38.0-48.0,null,18,1
1-CONS3,0,1245,false,4214000,7214000,4516500,4764500,88.0-54.0,88.0-54.0,1243,9,0
1-CONS3,1,1243,true,4214000,7214000,4674500,4793000,88.0-54.0,160.0-120.0,null,1,1
1-CONS3,0,1244,false,4214000,7214000,4309000,4860000,88.0-54.0,88.0-54.0,1243,2,0
1-CONS3,0,1194,false,4063500,7663500,4590000,4879250,102.0-64.0,102.0-64.0,1191,13,0
1-CONS3,1,1191,true,4063500,7663500,4787250,4890750,102.0-64.0,112.0-120.0,null,14,1
1-CONS3,1,1241,true,4214000,7214000,4813750,4914750,88.0-54.0,52.0-120.0,null,15,1
1-CONS3,0,1246,false,4214000,7214000,4598250,4955750,88.0-58.0,88.0-58.0,1241,4,0
1-CONS3,0,1193,false,4063500,7663500,4349750,4972500,102.0-64.0,102.0-64.0,1191,3,0
1-CONS3,1,1173,true,3983250,5783250,4948000,5042750,150.0-54.0,184.0-120.0,null,9,1
1-CONS3,1,1344,true,4795000,7795000,4981250,5058500,86.0-74.0,112.0-120.0,null,2,1
1-CONS3,1,1248,true,4214000,7214000,4974000,5068750,208.0-104.0,148.0-120.0,null,18,1
1-CONS3,1,1343,true,4795000,7795000,5006750,5091500,86.0-74.0,96.0-120.0,null,1,1
1-CONS3,0,1192,false,4063500,7663500,4231750,5112000,102.0-64.0,102.0-64.0,1191,5,0
1-CONS3,1,1357,true,4909750,7309750,5027250,5139500,160.0-88.0,76.0-120.0,null,13,1
1-CONS3,0,1250,false,4214000,7214000,4573250,5230750,208.0-104.0,208.0-104.0,1248,11,0
1-CONS3,1,1247,true,4214000,7214000,5153750,5276000,208.0-104.0,96.0-120.0,null,4,1
1-CONS3,0,1180,false,3983250,5783250,5056250,5277500,150.0-54.0,150.0-54.0,1174,14,0
1-CONS3,1,1301,true,4542000,6942000,5183250,5281750,176.0-18.0,150.0-98.0,null,3,1
1-CONS3,1,1365,true,4972500,8572500,5178250,5306750,104.0-18.0,136.0-108.0,null,15,1
1-CONS3,1,1382,true,5112000,8712000,5216250,5329750,86.0-64.0,64.0-120.0,null,5,1
1-CONS3,0,1249,false,4214000,7214000,4278250,5352250,208.0-104.0,208.0-104.0,1248,12,0
1-CONS3,1,1174,true,3983250,5783250,5198500,5360750,150.0-54.0,52.0-120.0,null,18,1
1-CONS3,0,1178,false,3983250,5783250,4804750,5372000,150.0-54.0,150.0-54.0,1174,6,0
1-CONS3,1,1342,true,4795000,7195000,5351500,5433750,86.0-74.0,120.0-120.0,null,13,1
1-CONS3,0,1176,false,3983250,6983250,4191250,5460500,150.0-54.0,150.0-54.0,1175,8,0
1-CONS3,1,1366,true,4972500,8572500,5369000,5476250,104.0-18.0,34.0-68.0,null,9,1
1-CONS3,1,1424,true,5230750,7030750,5409750,5500250,200.0-88.0,168.0-120.0,null,1,1
1-CONS3,1,1383,true,5112000,8712000,5460500,5584000,86.0-64.0,176.0-120.0,null,14,1
1-CONS3,1,1441,true,5308000,7108000,5515250,5586250,48.0-18.0,54.0-38.0,null,11,1
1-CONS3,1,1426,true,5261250,8261250,5457250,5593250,30.0-48.0,108.0-120.0,null,3,1
1-CONS3,1,1345,true,4795000,7795000,5551250,5623500,86.0-74.0,104.0-120.0,null,12,1
1-CONS3,0,1347,false,4795000,7795000,5252500,5644250,86.0-74.0,86.0-74.0,1345,2,0
1-CONS3,1,1367,true,4972500,6772500,5533500,5654500,104.0-18.0,32.0-88.0,null,6,1
1-CONS3,0,1425,false,5230750,7630750,5459250,5659500,200.0-84.0,200.0-84.0,1423,15,0
1-CONS3,1,1423,true,5230750,7630750,5565000,5659750,200.0-84.0,168.0-120.0,null,8,1
1-CONS3,1,1302,true,4542000,8142000,5591250,5682250,176.0-18.0,128.0-44.0,null,5,1
1-CONS3,1,1442,true,5308000,7108000,5648500,5745750,48.0-18.0,98.0-28.0,null,9,1
1-CONS3,1,1368,true,4972500,8572500,5690500,5755250,104.0-18.0,110.0-28.0,null,1,1
1-CONS3,0,1495,false,5433750,8433750,5553000,5872750,76.0-38.0,76.0-38.0,1494,4,0
1-CONS3,1,1494,true,5433750,8433750,5778250,5884250,76.0-38.0,52.0-120.0,null,3,1
1-CONS3,1,1577,true,5682250,9282250,5806000,5903250,168.0-18.0,98.0-44.0,null,5,1
1-CONS3,1,1443,true,5308000,7708000,5811250,5907250,48.0-18.0,60.0-104.0,null,2,1
1-CONS3,1,1543,true,5654500,9254500,5865250,5938750,100.0-18.0,102.0-38.0,null,6,1
1-CONS3,1,1428,true,5261250,7061250,5790250,5948750,30.0-48.0,144.0-120.0,null,14,1
1-CONS3,1,1303,true,4542000,7542000,5803000,5970250,176.0-18.0,50.0-108.0,null,15,1
1-CONS3,1,1542,true,5623500,8023500,5877000,5979250,132.0-18.0,180.0-54.0,null,8,1
1-CONS3,0,1498,false,5476000,8476000,5796250,6041750,152.0-94.0,152.0-94.0,1496,11,0
1-CONS3,1,1496,true,5476000,8476000,5949750,6093250,152.0-94.0,64.0-120.0,null,9,1
1-CONS3,1,1617,true,5940000,8940000,6000250,6098750,76.0-94.0,156.0-120.0,null,2,1
1-CONS3,1,1444,true,5308000,7108000,6006250,6132250,48.0-18.0,128.0-84.0,null,12,1
1-CONS3,0,1497,false,5476000,8476000,5589000,6140000,152.0-94.0,152.0-94.0,1496,13,0
1-CONS3,0,1431,false,5261250,8861250,5919250,6160250,30.0-48.0,30.0-48.0,1427,1,0
1-CONS3,1,1427,true,5261250,8861250,6067000,6190500,30.0-48.0,88.0-120.0,null,5,1
1-CONS3,0,1430,false,5261250,7061250,5578500,6241750,30.0-48.0,30.0-48.0,1428,18,0
1-CONS3,0,1608,false,5873000,8273000,6035000,6280500,82.0-68.0,82.0-68.0,1607,6,0
1-CONS3,1,1602,true,5872750,8872750,6113750,6283500,202.0-58.0,48.0-120.0,null,8,1
1-CONS3,1,1607,true,5873000,8273000,6193750,6285500,82.0-68.0,76.0-120.0,null,3,1
1-CONS3,1,1544,true,5654500,9254500,6155000,6323500,100.0-18.0,202.0-98.0,null,15,1
1-CONS3,1,1445,true,5308000,8908000,6201500,6326250,48.0-18.0,126.0-84.0,null,14,1
1-CONS3,0,1611,false,5907250,7707250,6059250,6331250,204.0-84.0,204.0-84.0,1610,4,0
1-CONS3,1,1739,true,6178750,7978750,6311000,6387000,52.0-18.0,50.0-38.0,null,9,1
1-CONS3,1,1610,true,5907250,7707250,6236750,6399000,204.0-84.0,88.0-120.0,null,2,1
1-CONS3,1,1616,true,5940000,9540000,6364000,6415000,76.0-98.0,72.0-120.0,null,1,1
1-CONS3,0,1618,false,5940000,9540000,6210750,6456250,76.0-98.0,76.0-98.0,1616,11,0
1-CONS3,1,1619,true,5940000,8940000,6384500,6530500,56.0-18.0,152.0-84.0,null,18,1
1-CONS3,0,1704,false,6097500,8497500,6288750,6563500,170.0-28.0,170.0-28.0,1700,13,0
1-CONS3,1,1700,true,6097500,8497500,6470000,6578500,170.0-28.0,144.0-120.0,null,6,1
1-CONS3,0,1609,false,5873000,8273000,6385000,6585250,82.0-64.0,82.0-64.0,1606,5,0
1-CONS3,1,1606,true,5873000,8273000,6490750,6604250,82.0-64.0,60.0-120.0,null,3,1
1-CONS3,1,1620,true,5940000,8340000,6474000,6611250,56.0-18.0,102.0-88.0,null,9,1
1-CONS3,1,1740,true,6178750,8578750,6535500,6612750,52.0-18.0,86.0-28.0,null,15,1
1-CONS3,1,1840,true,6395500,8195500,6511750,6664000,64.0-18.0,180.0-38.0,null,8,1
1-CONS3,0,1605,false,5872750,8872750,6429500,6704250,202.0-58.0,202.0-58.0,1603,4,0
1-CONS3,1,1603,true,5872750,8872750,6610000,6734750,202.0-58.0,120.0-120.0,null,2,1
1-CONS3,1,1701,true,6097500,9697500,6620000,6743500,170.0-24.0,172.0-120.0,null,11,1
1-CONS3,1,1741,true,6178750,7978750,6681000,6807000,52.0-18.0,174.0-34.0,null,5,1
1-CONS3,1,1841,true,6395500,8195500,6702000,6824250,64.0-18.0,132.0-38.0,null,18,1
1-CONS3,0,1703,false,6097500,9697500,6454000,6854000,170.0-24.0,170.0-24.0,1701,14,0
1-CONS3,1,1882,true,6704250,10304250,6767000,6880500,76.0-18.0,108.0-104.0,null,15,1
1-CONS3,1,1742,true,6178750,7978750,6831750,6927750,52.0-18.0,56.0-104.0,null,3,1
1-CONS3,0,1702,false,6097500,9697500,6261250,6945500,170.0-24.0,170.0-24.0,1701,12,0
1-CONS3,1,1804,true,6283500,9883500,6860500,6951500,78.0-68.0,104.0-120.0,null,6,1
1-CONS3,0,1810,false,6283500,9883500,6709250,6954750,78.0-68.0,78.0-68.0,1804,13,0
1-CONS3,1,1699,true,6097500,8497500,6734750,6956500,170.0-24.0,64.0-120.0,null,8,1
1-CONS3,1,1883,true,6704250,10304250,6920750,7000500,76.0-18.0,56.0-54.0,null,18,1
1-CONS3,1,1806,true,6283500,9883500,6923250,7019250,78.0-64.0,124.0-120.0,null,11,1
1-CONS3,1,1887,true,6816250,8616250,6968500,7110750,64.0-18.0,178.0-44.0,null,5,1
1-CONS3,1,1909,true,6927750,8727750,7061750,7141500,172.0-18.0,156.0-78.0,null,15,1
1-CONS3,1,1884,true,6704250,9704250,7054250,7155250,76.0-18.0,158.0-34.0,null,14,1
1-CONS3,1,1888,true,6816250,10416250,7081750,7197750,64.0-18.0,146.0-34.0,null,3,1
1-CONS3,1,1917,true,6954750,10554750,7097000,7243000,106.0-24.0,48.0-120.0,null,12,1
1-CONS3,1,1889,true,6816250,8616250,7243750,7352250,64.0-18.0,26.0-94.0,null,6,1
1-CONS3,1,1910,true,6927750,8727750,7288250,7398000,172.0-18.0,198.0-104.0,null,15,1
1-CONS3,1,1885,true,6704250,9704250,7270000,7406750,76.0-18.0,160.0-64.0,null,11,1
1-CONS3,0,1809,false,6283500,8683500,7162500,7421000,78.0-64.0,78.0-64.0,1805,8,0
1-CONS3,1,1805,true,6283500,8683500,7325750,7444250,78.0-64.0,160.0-120.0,null,14,1
1-CONS3,0,1808,false,6283500,8683500,7014750,7514250,78.0-64.0,78.0-64.0,1805,13,0
1-CONS3,0,1865,false,6578500,8378500,7222750,7562000,154.0-44.0,154.0-44.0,1860,5,0
1-CONS3,1,1860,true,6578500,8378500,7491750,7585250,154.0-44.0,176.0-120.0,null,12,1
1-CONS3,0,1807,false,6283500,9883500,6695000,7608750,78.0-64.0,78.0-64.0,1806,9,0
1-CONS3,0,1864,false,6578500,8378500,7121500,7639750,154.0-44.0,154.0-44.0,1860,18,0
1-CONS3,1,1979,true,7444250,9244250,7514750,7718250,208.0-34.0,60.0-120.0,null,11,1
1-CONS3,0,1863,false,6578500,8378500,7003250,7731750,154.0-44.0,154.0-44.0,1860,2,0
1-CONS3,1,1919,true,6954750,9354750,7622500,7753500,106.0-24.0,168.0-120.0,null,15,1
1-CONS3,0,1862,false,6578500,8378500,6824000,7825000,154.0-44.0,154.0-44.0,1860,4,0
1-CONS3,1,1980,true,7444250,10444250,7684500,7830500,208.0-34.0,160.0-120.0,null,5,1
